ModelID	is_rms	NAMPT	RPL5
ACH-000403	0	-0.3813283812946946	-2.4172103064263766
ACH-000404	0	-0.003971686818980413	-2.2395340864173594
ACH-000405	0	-0.8670072548188266	-2.161346748215678
ACH-000406	0	-0.9765053944156228	-2.352267598011529
ACH-000407	0	-0.16278286829229033	-2.4846306739385815
ACH-000408	0	-0.4324977290759984	-2.4394156938304796
ACH-000410	0	-0.19181535090448157	-2.333528488752228
ACH-000411	0	-0.3220506324755668	-2.5589699237015973
ACH-000414	0	-0.2911058189052361	-2.494397105077414
ACH-000415	0	-0.10249375667706057	-2.368041017311778
ACH-000416	0	-1.2792322644540395	-2.459021497852078
ACH-000417	0	-0.2603652066481706	-2.581523516735964
ACH-000420	0	-0.052355172336846945	-2.976490082381852
ACH-000421	0	-0.7639201421044923	-2.2206193212391994
ACH-000422	0	-0.25000392159333185	-2.1426589615743397
ACH-000424	0	-0.17817411881103362	-3.3329110044009957
ACH-000425	0	-0.19733916358361747	-1.8481589424687264
ACH-000426	0	-1.036486573551537	-2.5010699290447738
ACH-000427	0	-0.03717351928213136	-2.5615450385036977
ACH-000430	0	-0.3358961747507241	-3.4318682410115118
ACH-000431	0	-0.547901012715962	-2.914828730290462
ACH-000433	0	-0.2949507881594206	-2.5551618545405277
ACH-000434	0	-0.2776424388959156	-2.735787013076291
ACH-000435	0	-0.6159821685069939	-2.839934052548357
ACH-000436	0	-1.0894058551811603	-2.436902768033395
ACH-000437	0	-0.19801992006060198	-2.7744286590704137
ACH-000438	0	-0.31829602273754753	-2.6261347998427174
ACH-000441	0	-0.18277716754686857	-2.033855838206164
ACH-000442	0	-0.1791161557010686	-2.9302190774433896
ACH-000444	0	-0.05585743527523912	-2.347784452456439
ACH-000445	0	-0.19046093590469237	-2.296518111408448
ACH-000446	0	-0.3161150566554023	-2.7614725452405313
ACH-000448	0	-0.22452521989953014	-2.585659589705363
ACH-000450	0	-0.19294487189261791	-2.4698855954185435
ACH-000452	0	-0.5531636681465969	-2.101992525547836
ACH-000454	0	-0.20665104997160658	-2.531362158791192
ACH-000455	0	-0.1782715203458355	-2.9599521799636515
ACH-000456	0	-0.27212996169578596	-2.4890491926368132
ACH-000458	0	-0.10662393872925824	-2.7607332375279565
ACH-000459	0	0.061380235730694344	-2.5350804000025375
ACH-000460	0	-1.347404344738469	-3.0595444723789607
ACH-000461	0	-0.22345462115618642	-2.3492020685669837
ACH-000463	0	-0.2992424058528961	-2.3120995324786366
ACH-000464	0	-0.2108780917586185	-2.3110399781929427
ACH-000466	0	-0.030396992572835846	-2.5158351673996675
ACH-000467	0	-0.3358375224282821	-2.176874704038243
ACH-000468	0	-0.11861567256974198	-2.6554216289393784
ACH-000469	0	-0.17323918234268015	-2.2727814105683897
ACH-000470	0	-0.20451165041591624	-2.0509300531264847
ACH-000471	0	-0.3856115816584385	-2.530842869015087
